result
"AnalyzerOutput(output=others, probas={others: 0.798, joy: 0.192, surprise: 0.003, disgust: 0.002, fear: 0.002, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.980, joy: 0.008, disgust: 0.003, surprise: 0.003, fear: 0.002, sadness: 0.002, anger: 0.001})"
"AnalyzerOutput(output=joy, probas={joy: 0.532, others: 0.330, sadness: 0.122, surprise: 0.006, fear: 0.004, disgust: 0.004, anger: 0.002})"
"AnalyzerOutput(output=joy, probas={joy: 0.937, others: 0.054, surprise: 0.002, anger: 0.002, fear: 0.002, sadness: 0.002, disgust: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.951, joy: 0.016, sadness: 0.012, fear: 0.011, surprise: 0.007, disgust: 0.003, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.967, joy: 0.019, fear: 0.005, sadness: 0.003, disgust: 0.002, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.969, joy: 0.018, fear: 0.004, disgust: 0.003, sadness: 0.003, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=joy, probas={joy: 0.977, others: 0.014, surprise: 0.003, sadness: 0.002, anger: 0.002, fear: 0.001, disgust: 0.001})"
"AnalyzerOutput(output=joy, probas={joy: 0.758, others: 0.214, surprise: 0.020, sadness: 0.004, fear: 0.002, anger: 0.001, disgust: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.979, joy: 0.008, disgust: 0.005, fear: 0.003, sadness: 0.002, surprise: 0.002, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.839, sadness: 0.107, joy: 0.026, fear: 0.017, surprise: 0.005, disgust: 0.005, anger: 0.002})"
"AnalyzerOutput(output=others, probas={others: 0.966, joy: 0.024, fear: 0.003, sadness: 0.002, disgust: 0.002, surprise: 0.002, anger: 0.001})"
"AnalyzerOutput(output=others, probas={others: 0.980, joy: 0.007, disgust: 0.005, fear: 0.003, surprise: 0.002, sadness: 0.002, anger: 0.001})"
